words	zeta_sd2
thackeray	48.112071190441306
pascoe	47.78086528196594
sweater	47.73355956718758
wagstaffe	47.634023893636666
proviseur	47.634023893636666
pendlebury	47.634023893636666
turnbull	47.58155647374253
wexford	47.58155647374253
reg	47.58155647374253
gayleigh	47.52710868972015
fellowes	47.52710868972015
entendîmes	47.52710868972015
cornouailles	47.52710868972015
huby	47.470525161353784
clapp	47.470525161353784
suffolk	47.470525161353784
puma	47.470525161353784
townsend	47.411631472300215
cook	47.411631472300215
terrace	47.411631472300215
lomas	47.350230927636076
surintendant	47.350230927636076
cartwright	47.350230927636076
minnesota	47.350230927636076
dalziel	47.350230927636076
superintendent	47.28610059021636
castle	47.28610059021636
truro	47.28610059021636
nims	47.28610059021636
grouchko	47.28610059021636
hobart	47.28610059021636
vale	47.28610059021636
boyle	47.28610059021636
lefleur	47.21898639435782
milioukine	47.21898639435782
géorgiens	47.21898639435782
chandor	47.14859706646642
tennison	47.14859706646642
petersen	47.14859706646642
estes	47.14859706646642
lindstrom	47.14859706646642
ransom	47.07459648502265
stu	47.07459648502265
manning	47.07459648502265
trucmuche	47.07459648502265
walters	47.07459648502265
margate	47.07459648502265
elk	47.07459648502265
hungerford	46.996593973021376
bewlay	46.996593973021376
flyte	46.996593973021376
northemers	46.996593973021376
bayley	46.996593973021376
burke	46.996593973021376
herrington	46.996593973021376
merrivale	46.996593973021376
cribb	46.996593973021376
atteignîmes	46.996593973021376
otley	46.996593973021376
brannigan	46.996593973021376
sharman	46.996593973021376
hayhurst	46.9141318128294
devarest	46.9141318128294
burkin	46.9141318128294
packer	46.9141318128294
masters	46.9141318128294
mornay	46.9141318128294
drury	46.9141318128294
cove	46.9141318128294
county	46.9141318128294
windibanks	46.9141318128294
norwich	46.9141318128294
shefford	46.9141318128294
keif	46.9141318128294
dodd	46.9141318128294
nptv	46.9141318128294
babcock	46.9141318128294
wield	46.9141318128294
filby	46.82666897157907
allâmes	46.82666897157907
severn	46.82666897157907
pratt	46.82666897157907
desperches	46.82666897157907
kéryado	46.82666897157907
vollans	46.82666897157907
rébarbatif	46.82666897157907
pepperdine	46.82666897157907
bencolin	46.82666897157907
burden	46.82666897157907
amelot	46.82666897157907
rutledge	46.82666897157907
mcfee	46.82666897157907
heurtaut	46.82666897157907
framley	46.82666897157907
kingsmarkham	46.82666897157907
scarpetta	46.82666897157907
reach	46.733559567187584
dogtinder	46.733559567187584
lansing	46.733559567187584
ouaf	46.733559567187584
mcgowan	46.733559567187584
peveley	46.733559567187584
mckittrick	46.733559567187584
whittaker	46.733559567187584
keech	46.733559567187584
trimbal	46.733559567187584
saillard	46.733559567187584
cramm	46.733559567187584
wyveling	46.733559567187584
croy	46.733559567187584
kernan	46.733559567187584
estivar	46.733559567187584
minnoch	46.733559567187584
absurdités	46.733559567187584
saligny	46.733559567187584
templar	46.733559567187584
vacek	46.733559567187584
boggins	46.733559567187584
earnshaw	46.733559567187584
radossa	46.733559567187584
pontelli	46.733559567187584
wimsey	46.733559567187584
fancher	46.63402389363667
pathologiste	46.63402389363667
pumas	46.63402389363667
maidstone	46.63402389363667
vyvyan	46.63402389363667
falls	46.63402389363667
crocker	46.63402389363667
heap	46.63402389363667
réalisme	46.63402389363667
robineau	46.63402389363667
turpin	46.63402389363667
markham	46.63402389363667
bishop	46.63402389363667
lyons	46.63402389363667
tabora	46.63402389363667
aldebridge	46.63402389363667
brunei	46.63402389363667
jackknife	46.63402389363667
corla	46.63402389363667
greenfield	46.63402389363667
dirigeâmes	46.63402389363667
todhunter	46.63402389363667
faraday	46.63402389363667
scales	46.63402389363667
luckstone	46.63402389363667
trevarrow	46.63402389363667
adair	46.63402389363667
parsons	46.63402389363667
wilks	46.63402389363667
goodenough	46.63402389363667
static	46.63402389363667
tatterson	46.63402389363667
préfernic	46.63402389363667
santais	46.63402389363667
cobb	46.63402389363667
bix	46.63402389363667
ferrières	46.63402389363667
penmare	46.63402389363667
thomdyke	46.63402389363667
fellows	46.63402389363667
thorndyke	46.63402389363667
valenzuela	46.63402389363667
mesquite	46.52710868972016
saltmarsh	46.52710868972016
thurston	46.52710868972016
boltz	46.52710868972016
boca	46.52710868972016
osborn	46.52710868972016
vicarage	46.52710868972016
grahame	46.52710868972016
quince	46.52710868972016
pentire	46.52710868972016
vautel	46.52710868972016
loureiro	46.52710868972016
fayrer	46.52710868972016
gizmo	46.52710868972016
westlake	46.52710868972016
sills	46.52710868972016
campion	46.52710868972016
tooley	46.52710868972016
grilat	46.52710868972016
skipton	46.52710868972016
maitland	46.52710868972016
drummond	46.52710868972016
amberley	46.52710868972016
fouques	46.52710868972016
fago	46.52710868972016
brinkley	46.52710868972016
fountain	46.52710868972016
kenbourne	46.52710868972016
goudge	46.52710868972016
burr	46.52710868972016
nettleton	46.52710868972016
jessup	46.52710868972016
carver	46.52710868972016
discuta	46.52710868972016
eastem	46.52710868972016
thursday	46.52710868972016
climpson	46.52710868972016
craiglea	46.52710868972016
momay	46.52710868972016
gervase	46.52710868972016
brandshaft	46.52710868972016
wiggins	46.52710868972016
bingley	46.52710868972016
strickland	46.52710868972016
macey	46.52710868972016
bigger	46.52710868972016
polton	46.52710868972016
casita	46.52710868972016
lavai	46.52710868972016
bingham	46.52710868972016
havers	46.52710868972016
farm	46.52710868972016
hoddle	46.52710868972016
meecham	46.52710868972016
dantas	46.41163147230023
lovestone	46.41163147230023
poney	46.41163147230023
grafenstein	46.41163147230023
supposais	46.41163147230023
beagle	46.41163147230023
pettifer	46.41163147230023
amburgey	46.41163147230023
bellingham	46.41163147230023
loftus	46.41163147230023
paws	46.41163147230023
oates	46.41163147230023
dulzura	46.41163147230023
bruton	46.41163147230023
shoppe	46.41163147230023
coffee	46.41163147230023
cockney	46.41163147230023
apprendrons	46.41163147230023
bankhart	46.41163147230023
withers	46.41163147230023
deeds	46.41163147230023
goyo	46.41163147230023
nettle	46.41163147230023
haskell	46.41163147230023
thanet	46.41163147230023
gubbins	46.41163147230023
éraflure	46.41163147230023
gotobed	46.41163147230023
grayling	46.41163147230023
goudronnée	46.41163147230023
planchers	46.41163147230023
stutterford	46.41163147230023
bunter	46.41163147230023
bunyan	46.41163147230023
brodsworth	46.41163147230023
caton	46.41163147230023
charlottesville	46.41163147230023
merendes	46.41163147230023
yates	46.41163147230023
raynor	46.41163147230023
trager	46.41163147230023
bly	46.41163147230023
bainbridge	46.41163147230023
talolahti	46.41163147230023
weygand	46.41163147230023
watmough	46.41163147230023
gruff	46.41163147230023
bray	46.41163147230023
pittsfield	46.41163147230023
horrocks	46.41163147230023
forstmann	46.41163147230023
carmandine	46.41163147230023
blackie	46.41163147230023
flaherty	46.28610059021637
wat	46.28610059021637
junction	46.28610059021637
whitewell	46.28610059021637
whiting	46.28610059021637
garbraith	46.28610059021637
breckham	46.28610059021637
noirot	46.28610059021637
badger	46.28610059021637
langford	46.28610059021637
élargirent	46.28610059021637
stockford	46.28610059021637
garmisch	46.28610059021637
mid	46.28610059021637
throgmorton	46.28610059021637
barrowclough	46.28610059021637
tibbett	46.28610059021637
mews	46.28610059021637
tewkesbury	46.28610059021637
lialena	46.28610059021637
accompagnerai	46.28610059021637
haslett	46.28610059021637
springs	46.28610059021637
southwold	46.28610059021637
degerman	46.28610059021637
valkill	46.28610059021637
lingard	46.28610059021637
kling	46.28610059021637
kilander	46.28610059021637
brocart	46.28610059021637
balançai	46.28610059021637
demarest	46.28610059021637
lagervall	46.28610059021637
mosby	46.28610059021637
leahampton	46.28610059021637
fredrika	46.28610059021637
peyosi	46.28610059021637
sansone	46.28610059021637
farroway	46.28610059021637
fir	46.28610059021637
aveyard	46.28610059021637
cornish	46.28610059021637
emesta	46.28610059021637
tucker	46.28610059021637
review	46.28610059021637
starke	46.28610059021637
traça	46.28610059021637
belmina	46.28610059021637
résilia	46.28610059021637
jannix	46.28610059021637
featherstone	46.28610059021637
bannister	46.28610059021637
uno	46.28610059021637
norfolk	46.28610059021637
contrepoids	46.28610059021637
réussirent	46.28610059021637
lineham	46.28610059021637
mississippi	46.28610059021637
chittering	46.28610059021637
éventreuse	46.28610059021637
quincey	46.28610059021637
examinez	46.28610059021637
comstock	46.28610059021637
harkness	46.28610059021637
stowerton	46.28610059021637
tribling	46.28610059021637
roarer	46.28610059021637
findlater	46.28610059021637
markusson	46.28610059021637
tosse	46.28610059021637
pemberly	46.148597066466436
herboriste	46.148597066466436
ingun	46.148597066466436
fournisse	46.148597066466436
betts	46.148597066466436
dearborn	46.148597066466436
houghton	46.148597066466436
lowther	46.148597066466436
blush	46.148597066466436
dimmons	46.148597066466436
berkshire	46.148597066466436
aurigny	46.148597066466436
grovestown	46.148597066466436
blandford	46.148597066466436
lathrop	46.148597066466436
venner	46.148597066466436
cumbres	46.148597066466436
trout	46.148597066466436
tarrant	46.148597066466436
skindingsrude	46.148597066466436
hyssop	46.148597066466436
mount	46.148597066466436
tossit	46.148597066466436
hamstone	46.148597066466436
halle	46.148597066466436
margolis	46.148597066466436
grail	46.148597066466436
léningrad	46.148597066466436
forniss	46.148597066466436
sooey	46.148597066466436
sentirez	46.148597066466436
pinson	46.148597066466436
yarborough	46.148597066466436
kornilov	46.148597066466436
ogilby	46.148597066466436
hillyer	46.148597066466436
tournâmes	46.148597066466436
holt	46.148597066466436
wolcott	46.148597066466436
scranton	46.148597066466436
georgetown	46.148597066466436
faufilai	46.148597066466436
lonsback	46.148597066466436
sousa	46.148597066466436
pénétrants	46.148597066466436
toke	46.148597066466436
trevail	46.148597066466436
chivers	46.148597066466436
mossop	46.148597066466436
capricorne	46.148597066466436
torquay	46.148597066466436
wijk	46.148597066466436
agave	46.148597066466436
piedmont	46.148597066466436
studham	46.148597066466436
achada	46.148597066466436
potts	46.148597066466436
greening	46.148597066466436
panaméen	46.148597066466436
granada	46.148597066466436
petty	46.148597066466436
bohemia	46.148597066466436
ordzhonikidze	46.148597066466436
vilar	46.148597066466436
mounier	46.148597066466436
greythorne	46.148597066466436
broadwaters	46.148597066466436
nettlefold	46.148597066466436
pardoe	46.148597066466436
eastbourne	46.148597066466436
vevening	46.148597066466436
migrants	46.148597066466436
pugiliste	46.148597066466436
pugilistes	45.99659397302139
iowa	45.99659397302139
milioukina	45.99659397302139
blouser	45.99659397302139
subis	45.99659397302139
mégaphone	45.99659397302139
bagasse	45.99659397302139
préviendrait	45.99659397302139
fassio	45.99659397302139
